name,surface,ArmorThicknessMillimeters,DamageAbsorbed,bConsiderForPenetration,bAllowPenetration,bDamageParentActor,path
PhysMat_T62_hull_front_lower,Metal,100,400.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T62/PhysMat_T62_hull_front_lower
PhysMat_T62_hull_front_upper,Metal,100,400.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T62/PhysMat_T62_hull_front_upper
PhysMat_T62_turret_roof_front,Metal,100,400.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T62/PhysMat_T62_turret_roof_front
PhysMat_T72B3_turret_rear,Metal,100,400.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T72B3/PhysMat_T72B3_turret_rear
PhysMat_M1a2_top,Metal,90,150.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/M1a2/PhysMat_M1a2_top
PhysMat_M1a2_turretring,Metal,80,300.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/M1a2/PhysMat_M1a2_turretring
PhysMat_T62_hull_side,Metal,80,200.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T62/PhysMat_T62_hull_side
PhysMat_T72B3_hull_UpperSide_Addon,Metal,80,200.0,True,True,False,Environments/PhysicalMaterials/Vehicles/Armor_materials/T72B3/PhysMat_T72B3_hull_UpperSide_Addon
PhysMat_T72B3_hull_rear,Metal,80,200.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T72B3/PhysMat_T72B3_hull_rear
PhysMat_ARMOR_Thick,Metal,50,200.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_ARMOR_Thick
PhysMat_M1a2_rear,Metal,50,150.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/M1a2/PhysMat_M1a2_rear
PhysMat_T62_hull_rear,Metal,50,200.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T62/PhysMat_T62_hull_rear
PhysMat_T62_turret_rear,Metal,50,400.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T62/PhysMat_T62_turret_rear
PhysMat_T62_turret_roof_rear,Metal,50,600.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T62/PhysMat_T62_turret_roof_rear
PhysMat_T72B3_hull_side,Metal,50,400.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T72B3/PhysMat_T72B3_hull_side
PhysMat_T72B3_turret_roof_rear,Metal,50,600.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T72B3/PhysMat_T72B3_turret_roof_rear
PhysMat_armor_40mm,Metal,40,250.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_ARMOR_40mm
PhysMat_ARMOR_35mm,Metal,35,200.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_ARMOR_35mm
PhysMat_armor_AAVP7A1_AddOn,Metal,35,200.0,True,True,False,Environments/PhysicalMaterials/Vehicles/PhysMat_armor_AAVP7A1_AddOn
PhysMat_ARMOR_Gun,Metal,30,120.0,True,True,False,Environments/PhysicalMaterials/Vehicles/PhysMat_ARMOR_Gun
PhysMat_T72B3_tracks,Metal,30,100.0,True,True,False,Environments/PhysicalMaterials/Vehicles/Armor_materials/T72B3/PhysMat_T72B3_tracks
PhysMat_armor_30mm,Metal,30,200.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_armor_30mm
PhysMat_vehicletracks,Metal,30,200.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_vehicletracks
PhysMat_Armor_20mm,Metal,20,150.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_Armor_20mm
PhysMat_DryMudWall,Concrete,20,200.0,True,True,,Environments/PhysicalMaterials/PhysMat_DryMudWall
PhysMat_Vehicle_EngineLarge,Metal,20,1000.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_Vehicle_EngineLarge
PhysMat_armor_FV510_AddOn,Metal,20,300.0,True,True,False,Environments/PhysicalMaterials/Vehicles/PhysMat_armor_FV510_AddOn
PhysMat_ARMOR_15mm,Metal,15,110.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_ARMOR_15mm
PhysMat_ARMOR_LPPV_Hatch_15mm,Metal,15,110.0,True,True,False,Environments/PhysicalMaterials/Vehicles/PhysMat_ARMOR_LPPV_Hatch_15mm
PhysMat_ARMOR_Medium,Metal,15,120.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_ARMOR_Medium
PhysMat_Sandbag,Dirt,12,120.0,True,True,False,Environments/PhysicalMaterials/PhysMat_Sandbag
PhysMat_Sandbag_Deployable,Dirt,12,120.0,True,True,,Environments/PhysicalMaterials/PhysMat_Sandbag_Deployable
PhysMat_ARMOR_10mm,Metal,10,100.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_ARMOR_10mm
PhysMat_Brick,Brick,10,100.0,True,True,,Environments/PhysicalMaterials/PhysMat_Brick
PhysMat_Concrete,Concrete,10,120.0,True,,False,Environments/PhysicalMaterials/PhysMat_Concrete
PhysMat_M1a2_sideskirt_rear,Metal,10,40.0,True,True,False,Environments/PhysicalMaterials/Vehicles/Armor_materials/M1a2/PhysMat_M1a2_sideskirt_rear
PhysMat_Wood_treelog,Wood,10,120.0,True,True,,Environments/PhysicalMaterials/PhysMat_Wood_treelog
PhysMat_Wood_treelog,Wood,10,120.0,True,True,,Maps/EntryMaps_Archive/AFU_EntryMap/Meshes/Environments/PhysicalMaterials/PhysMat_Wood_treelog
PhysMat_ARMOR_9mm,Metal,9,90.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_ARMOR_9mm
PhysMat_Armor_9mm_NoPass,Metal,9,90.0,True,True,False,Environments/PhysicalMaterials/Vehicles/PhysMat_Armor_9mm_NoPass
PhysMat_ARMOR_7mm,Metal,7,70.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_ARMOR_7mm
PhysMat_ARMOR_7mm_Glass,Glass,7,70.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_ARMOR_7mm_Glass
PhysMat_ARMOR_7mm_NoPass,Metal,7,70.0,True,True,False,Environments/PhysicalMaterials/Vehicles/PhysMat_ARMOR_7mm_NoPass
PhysMat_Vehicle_AmmoRack,Metal,6,1000.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_Vehicle_AmmoRack
PhysMat_ARMOR_5mm,Metal,5,50.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_ARMOR_5mm
PhysMat_ARMOR_5mm_NoPass,Metal,5,50.0,True,True,False,Environments/PhysicalMaterials/Vehicles/PhysMat_ARMOR_5mm_NoPass
PhysMat_ARMOR_Thin,Metal,5,60.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_ARMOR_Thin
PhysMat_Metal_SQ,Metal,5,50.0,True,True,,Environments/PhysicalMaterials/Metal/PhysMat_Metal_SQ
PhysMat_Metal_Stairs,Metal,5,50.0,True,True,,Environments/PhysicalMaterials/Metal/PhysMat_Metal_Stairs
PhysMat_Plaster,Plaster,5,70.0,True,True,,Environments/PhysicalMaterials/PhysMat_Plaster
PhysMat_ARMOR_3mm,Metal,3,30.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_ARMOR_3mm
PhysMat_Wood,Wood,3,30.0,True,True,False,Environments/PhysicalMaterials/PhysMat_Wood
PhysMat_WoodSolid,Wood,3,30.0,True,True,False,Environments/PhysicalMaterials/PhysMat_WoodSolid
PhysMat_Wood_Creaky_floor,Wood,3,30.0,True,True,,Environments/PhysicalMaterials/PhysMat_Wood_Creaky_floor
PhysMat_Trucks,Metal,2,30.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_Trucks
PhysMat_Vehicle_Engine,Metal,2,1000.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_Vehicle_Engine
PhysMat_Car-Technicals,Metal,1,20.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_Car-Technicals
PhysMat_Fabric,,1,5.0,True,True,,Environments/PhysicalMaterials/PhysMat_Fabric
PhysMat_Glass,Glass,1,20.0,True,True,,Environments/PhysicalMaterials/PhysMat_Glass
PhysMat_GlassWindow,Glass,1,20.0,True,True,,Environments/PhysicalMaterials/PhysMat_GlassWindow
PhysMat_HeavyMetal_Hollow,Metal,1,30.0,True,True,,Environments/PhysicalMaterials/Metal/PhysMat_HeavyMetal_Hollow
PhysMat_Helo_Engine,Metal,1,1000.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_Helo_Engine
PhysMat_Leafs,Leaves,1,,True,True,,Environments/PhysicalMaterials/PhysMat_leafs
PhysMat_MetalThin,Metal,1,20.0,True,True,,Environments/PhysicalMaterials/Metal/PhysMat_MetalThin
PhysMat_Metal_Barrel,,1,30.0,True,True,,Environments/PhysicalMaterials/Metal/PhysMat_Metal_Barrel
PhysMat_Metal_target,Metal,1,100.0,True,True,,Environments/PhysicalMaterials/Metal/PhysMat_Metal_target
PhysMat_Rubber,,1,20.0,True,True,,Environments/PhysicalMaterials/PhysMat_Rubber
PhysMat_Rubber_NoPass,,1,20.0,True,True,False,Environments/PhysicalMaterials/PhysMat_Rubber_NoPass
PhysMat_Carpet,Carpet,,5.0,True,True,,Environments/PhysicalMaterials/PhysMat_Carpet
PhysMat_Ceramic,Tile,,100.0,True,True,,Environments/PhysicalMaterials/PhysMat_Ceramic
PhysMat_CropField,GrassField,,,,,,Environments/PhysicalMaterials/PhysMat_CropField
PhysMat_Cushion,,,5.0,True,True,,Environments/PhysicalMaterials/PhysMat_Cushion
PhysMat_Default,,,,,,,Environments/PhysicalMaterials/PhysMat_Default
PhysMat_Drone,Metal,,,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_Drone
PhysMat_Equipment_Cloth,Cloth,,5.0,True,True,,Environments/PhysicalMaterials/PhysMat_Equipment_Cloth
PhysMat_Flesh,Blood,,30.0,True,True,,Blueprints/Tutorial/InfantryTutorial/PhysMat_Flesh
PhysMat_Flesh,Blood,,30.0,True,True,,Environments/PhysicalMaterials/PhysMat_Flesh
PhysMat_Flesh_Cloth,Blood,,30.0,True,True,,Environments/PhysicalMaterials/PhysMat_Flesh_Cloth
PhysMat_Gas_Can,Metal,,,,,,Environments/PhysicalMaterials/Gas_can/PhysMat_Gas_Can
PhysMat_GlassWindshield,Glass,,20.0,True,True,,Environments/PhysicalMaterials/PhysMat_GlassWindshield
PhysMat_Helo_Loach,Metal,,1000.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_Helo_Loach
PhysMat_Loose_Rocks,LooseRocks,,,True,,,Environments/PhysicalMaterials/Rock/PhysMat_Loose_Rocks
PhysMat_Pinebranch,,,30.0,True,True,,Environments/PhysicalMaterials/Trees/PhysMat_Pinebranch
PhysMat_Plastic,Plastic,,5.0,True,True,,Environments/PhysicalMaterials/Plastic/PhysMat_Plastic
PhysMat_PlasticBag,,,,True,True,,Environments/PhysicalMaterials/Plastic/PhysMat_PlasticBag
PhysMat_Pumpkin,Blood,,,True,True,,Environments/PhysicalMaterials/Pumpkin/PhysMat_Pumpkin
PhysMat_Razorwire,Metal,,5.0,True,True,,Environments/PhysicalMaterials/Metal/PhysMat_Razorwire
PhysMat_Tile,Tile,,10.0,True,True,,Environments/PhysicalMaterials/PhysMat_Tile
PhysMat_Tire_Open,,,20.0,True,True,,Environments/PhysicalMaterials/PhysMat_Tire_Open
PhysMat_Vehicle_NoPenetration,,,,True,,False,Environments/PhysicalMaterials/Vehicles/PhysMat_Vehicle_NoPenetration
PhysMat_VehiclesBottom_PhysicsAsset,,,30.0,,,,Environments/PhysicalMaterials/Vehicles/PhysMat_VehiclesBottom_PhysicsAsset
PhysMat_Vehicles_PhysicsAsset,,,30.0,,,,Environments/PhysicalMaterials/Vehicles/PhysMat_Vehicles_PhysicsAsset
PhysMat_Water,Water,,20.0,True,True,,Environments/PhysicalMaterials/PhysMat_Water
PhysMat_Water_Container,,,30.0,True,True,,Environments/PhysicalMaterials/PhysMat_Water_Container
Physmat_VFX_Redirectors,,,,,,,Environments/PhysicalMaterials/Physmat_VFX_Redirectors
