vehicle,vehicleType,weapon,role,class,asset,projectile,profile,override,rpm,rpmPractical,mv,dmgMax,penMM,mag,mags,reload,moa,power,ceiling,sway,curve,impactPower,innerR,outerR,radialCeiling,expBase,expInner,expOuter,expKill,impactDmg,variants
ZBL08,IFV,DTC10-30 30mm Armor Piercing,Autocannon,acap,ZBL08/Weapons/BP_ZBL08_ZPT-99_AP,BP_Projectile_30mm_AP,Projectile_Suppression_20mm_AP,False,333,333,950,,62,160,1,10.5,3.5,0.699999988079071,2.0,5.0,,,,,,,,,,,1
ZSD89,IFVTracked,25mm Armor Piercing Discarding Sabot,Autocannon,acap,ZSD89/Turrets/ZSL92/Weapons/BP_ZSL92_ZPT90_AP,BP_Projectile_30mm_AP,Projectile_Suppression_20mm_AP,False,200,200,1050,,100,80,1,12.5,6.0,0.699999988079071,2.0,5.0,,,,,,,,,,,3
ZSD89,IFVTracked,25mm Fragmentation Tracer,Autocannon,achE,ZSD89/Turrets/ZSL92/Weapons/BP_ZSL92_ZPT90_HE,BP_Projectile_30mm_HE,Explosion_Suppression_20mm_Frag,False,200,200,1050,120.0,8,120,1,12.5,6.0,,2.0,,,1.5,350.0,,4.0,125.0,100.0,750.0,,100.0,3
BMP-2,IFVTracked,3UBR6 30mm Armor Piercing,Autocannon,acap,BMP-2/Weapons/BP_BMP2_GFI_2A42_AP,BP_Projectile_30mm_AP,Projectile_Suppression_20mm_AP,False,550,550,1004,,62,160,1,10.5,3.0,0.699999988079071,2.0,5.0,,,,,,,,,,,1
BMD-4M,IFVTracked,3UBR8 30mm Armor Piercing Discarding Sabot,Autocannon,acap,BMD-4M/Weapons/BP_BMD4M_2A72_AP,BP_Projectile_30mm_AP,Projectile_Suppression_20mm_AP,False,333,333,1004,,62,150,1,10.5,6.0,0.699999988079071,2.0,5.0,,,,,,,,,,,3
BMP-2,IFVTracked,3UBR8 30mm Armor Piercing Discarding Sabot,Autocannon,acap,BMP-2/Weapons/BP_BMP2_2A42_AP,BP_Projectile_30mm_AP,Projectile_Suppression_20mm_AP,False,550,550,1004,,62,160,1,10.5,3.0,0.699999988079071,2.0,5.0,,,,,,,,,,,5
BMD-4M,IFVTracked,3UOR6 30mm Fragmentation Tracer,Autocannon,achE,BMD-4M/Weapons/BP_BMD4M_2A72_HE,BP_Projectile_30mm_HE,Explosion_Suppression_20mm_Frag,False,333,333,1004,100.0,9,150,1,10.5,4.0,,2.0,,,1.5,350.0,,4.0,125.0,100.0,750.0,,100.0,3
BMP-2,IFVTracked,3UOR6 30mm Fragmentation Tracer,Autocannon,achE,BMP-2/Weapons/BP_BMP2_2A42_HE,BP_Projectile_30mm_HE,Explosion_Suppression_20mm_Frag,False,550,550,900,100.0,9,340,1,10.5,3.0,,2.0,,,1.5,350.0,,4.0,125.0,100.0,750.0,,100.0,6
ZBD05,IFVTracked,DTB02-30 30mm High Explosive Fragmentation,Autocannon,achE,ZBD05/Weapons/BP_ZBD05_ZPT-99_HE,BP_Projectile_30mm_HE,Explosion_Suppression_20mm_Frag,False,333,333,950,100.0,9,300,1,10.5,,,2.0,,,1.5,350.0,,4.0,125.0,100.0,750.0,,100.0,2
ZBD04A,IFVTracked,DTB02-30 30mm High-Explosive Fragmentation,Autocannon,achE,ZBD04A/Weapons/BP_ZBD04A_ZPT99_HEFrag,BP_Projectile_30mm_HE,Explosion_Suppression_20mm_Frag,False,333,333,970,100.0,9,300,1,10.5,1.690000057220459,,2.0,,,1.5,350.0,,4.0,125.0,100.0,750.0,,100.0,1
ZBD05,IFVTracked,DTC041A-30 30mm Armor-Piercing Sabot,Autocannon,acap,ZBD05/Weapons/BP_ZBD05_ZPT-99_APFSDS,BP_Projectile_30mm_AP,Projectile_Suppression_20mm_AP,False,333,333,1360,,105,160,1,10.5,2.5,0.699999988079071,2.0,5.0,,,,,,,,,,,2
ZBD04A,IFVTracked,DTC10-30 30mm Armor Piercing,Autocannon,acap,ZBD04A/Weapons/BP_ZBD04A_ZPT99_AP,BP_Projectile_30mm_AP,Projectile_Suppression_20mm_AP,False,333,333,970,,62,200,1,10.5,1.350000023841858,0.699999988079071,2.0,5.0,,,,,,,,,,,3
FV107,IFVTracked,NM225 30mm Armor-Piercing Sabot,Autocannon,acap,FV107/Weapons/BP_Scimitar_Rarden_AP,BP_Projectile_30mm_AP,Projectile_Suppression_20mm_AP,False,90,90,1300,90.0,100,6,14,1.2000000476837158,1.5,0.699999988079071,2.0,5.0,,,,,,,,,,,4
FV107,IFVTracked,NM232 30mm High Explosive Tracer,Autocannon,achE,FV107/Weapons/BP_Scimitar_Rarden_HE,BP_Projectile_30mm_HE_Red_Rarden,Explosion_Suppression_50mm_Frag,False,90,90,1100,200.0,9,6,14,1.2000000476837158,1.5,0.800000011920929,2.0,,,4.5,600.0,1875.0,4.5,125.0,100.0,750.0,,100.0,4
FV510_40mm,IFVTracked,Telescoped 40mm Armor-Piercing Sabot,Autocannon,acap,FV510_40mm/Weapons/BP_Warrior_CTAS_AP,BP_Projectile_30mm_AP,Projectile_Suppression_20mm_AP,False,400,400,1500,120.0,100,80,1,1.2000000476837158,1.5,0.699999988079071,2.0,5.0,,,,,,,,,,,2
FV510_40mm,IFVTracked,Telescoped 40mm General-Purpose Tracer,Autocannon,achE,FV510_40mm/Weapons/BP_Warrior_CTAS_HE,BP_Projectile_40mm_GPR,Explosion_Suppression_50mm_Frag,False,400,400,1200,300.0,9,80,1,1.2000000476837158,1.5,0.800000011920929,2.0,,,4.5,600.0,1875.0,4.5,175.0,100.0,1250.0,75.0,100.0,2
LAV_RWS,APC,C6 CROWS,Coax / MG (7.62),coax,LAV_RWS/Weapons/BP_CROWS_C6_LAV,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,750,1,30.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
LAV_RWS,APC,C6A1 FLEX,Coax / MG (7.62),coax,LAV_RWS/Weapons/BP_C6_LAV_Manned_Turret,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,250,10,10.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
M1126,APC,M240B CROWS,Coax / MG (7.62),coax,M1126/BP_CROWS_M240_Stryker,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,750,1,30.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
BTR80,APC,PKT Coaxial Machine Gun,Coax / MG (7.62),coax,BTR80/Attachments/BP_BTR80_INS_PKT,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,701,701,855,,7,250,5,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,4
TLAV,APCTracked,C6 Coaxial Machine Gun,Coax / MG (7.62),coax,TLAV/Weapons/BP_TLAV_M240,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,220,5,10.5,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
BTR-D,APCTracked,PKM,Coax / MG (7.62),coax,BTR-D/Weapons/PKM_OpenTop/BP_PKM_BTR-D,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,860,,28,100,10,7.400000095367432,1.5,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
BTR-MDM,APCTracked,PKT 7.62 RWS Machine Gun,Coax / MG (7.62),coax,BTR-MDM/Weapons/BP_PK_RWS_Gun,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,701,701,855,,7,750,1,30.0,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
BTR-MDM,APCTracked,PKT Machine Gun,Coax / MG (7.62),coax,BTR-MDM/Weapons/BP_BTRMDM_Bow_PKT,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,855,,7,250,8,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
RHIB,Boat,M240B,Coax / MG (7.62),coax,RHIB/Weapons/BP_M240_RHIB_Weapon,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,250,10,10.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
RHIB,Boat,MG3,Coax / MG (7.62),coax,RHIB/Weapons/BP_MG3_RHIB_Weapon,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,1101,1101,820,,7,120,6,7.5,5.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
RHIB,Boat,PKM,Coax / MG (7.62),coax,RHIB/Weapons/BP_PKM_RHIB_Weapon,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,652,652,825,85.0,7,100,8,9.75,5.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
RHIB,Boat,PKP,Coax / MG (7.62),coax,RHIB/Weapons/BP_PKP_RHIB_Weapon,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,652,652,825,,7,100,8,9.75,4.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
RHIB,Boat,QJY88,Coax / MG (7.62),coax,RHIB/Weapons/BP_QJY88_RHIB_Weapon,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,652,652,853,,7,200,5,9.5,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
M2A1 Browning,Emplacement,M240B,Coax / MG (7.62),coax,M1151_WPMC/BP_M240_Loaders_Weapon_WPMC,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,250,10,10.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
Emplaced_Mag58,Emplacement,Mag58,Coax / MG (7.62),coax,Emplaced_Mag58/BP_EmplacedMag58_Weapon,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,200,1,8.666999816894531,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
CH146,Helicopter,C6A1,Coax / MG (7.62),coax,CH146/Weapons/BP_C6A1_DoorGun,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,200,5,8.666999816894531,140.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
CH146_Raven_WPMC,Helicopter,M240H,Coax / MG (7.62),coax,CH146_Raven_WPMC/Weapons/BP_M240H_WPMC_DoorGun,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,200,5,8.666999816894531,140.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,4
MI17,Helicopter,MG3,Coax / MG (7.62),coax,MI17/Weapons/BP_MG3_DoorGun,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,1101,1101,820,,7,120,6,7.5,155.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
UH60M,Helicopter,PKM,Coax / MG (7.62),coax,UH60M/Weapons/BP_PKM_DoorGun,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,652,652,825,,7,100,8,9.75,140.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
MI8,Helicopter,PKP,Coax / MG (7.62),coax,MI8/Weapons/BP_PKP_DoorGun,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,652,652,825,,7,100,8,9.75,140.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
Coyote,IFV,C6 Coaxial Machine Gun,Coax / MG (7.62),coax,Coyote/Weapons/BP_Coyote_762_Desert,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,857,857,853,,7,440,2,10.5,5.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
BTR4,IFV,KT-7.62 Coaxial Machine Gun,Coax / MG (7.62),coax,BTR4/Weapons/BP_BTR4_KT762,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,701,701,855,,7,350,6,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
ASLAV,IFV,M240B,Coax / MG (7.62),coax,ASLAV/Weapons/BP_ASLAV_Mag58_Cmdr_Weapon,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,250,10,10.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
LAV25,IFV,M240G,Coax / MG (7.62),coax,LAV25/Weapons/M240G_MGO_Commander/BP_M240G_MGO_Turret_Weapon_Desert,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,853,,7,250,10,10.0,3.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
ZBL08,IFV,QTJ-02 Coaxial Machine Gun,Coax / MG (7.62),coax,ZBL08/Weapons/BP_ZBL08_QTJ02,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,701,701,855,,7,3000,1,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
BMP1TS_AFU,IFVTracked,KT-7.62 Coaxial Machine Gun,Coax / MG (7.62),coax,BMP1TS_AFU/Weapons/BP_BMP1TS_KT762,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,701,701,855,,7,350,6,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
FV107,IFVTracked,L94A1 EX-34 Coaxial Machine Gun,Coax / MG (7.62),coax,FV107/Weapons/BP_Scimitar_762,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,500,500,853,,7,200,15,10.5,5.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,6
ACV-15,IFVTracked,M240C Coaxial Machine Gun,Coax / MG (7.62),coax,ACV-15/Weapons/BP_ACV_762,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,857,857,853,,7,800,2,10.5,5.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,4
ACV-15,IFVTracked,MG3,Coax / MG (7.62),coax,ACV-15/Weapons/BP_ACV15_OpenTurret_MG3_Weapon,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,1101,1101,820,,7,120,6,7.5,5.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
BMD-4M,IFVTracked,PKT Coaxial Machine Gun,Coax / MG (7.62),coax,BMD-4M/Weapons/BP_BMD4M_2A70_coax,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,800,800,895,,7,3000,1,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
BMP-1,IFVTracked,PKT Coaxial Machine Gun,Coax / MG (7.62),coax,BMP-1/Weapons/BP_BMP1_PKT,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,855,,7,250,8,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
BMP-2,IFVTracked,PKT Coaxial Machine Gun,Coax / MG (7.62),coax,BMP-2/Weapons/BP_BMP2_GFI_PKT,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,701,701,855,,7,2000,1,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,6
BMD-1M,IFVTracked,PKT Machine Gun,Coax / MG (7.62),coax,BMD-1M/Weapons/BP_BMD1M_Bow_PKT,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,855,,7,250,8,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
BMP-3M,IFVTracked,PKTM Machine Gun,Coax / MG (7.62),coax,BMP-3M/Weapons/BP_BMP3M_BowGun_PKT,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,701,701,855,,7,2000,1,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
ZBD04A,IFVTracked,QTJ-02 Coaxial Machine Gun,Coax / MG (7.62),coax,ZBD04A/Weapons/BP_ZBD04A_2A70_coax,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,800,800,895,,7,3000,1,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
ZBD05,IFVTracked,QTJ-02 Coaxial Machine Gun,Coax / MG (7.62),coax,ZBD05/Weapons/BP_ZBD05_QTJ02,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,701,701,855,,7,3000,1,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,2
ZTD05,IFVTracked,QTJ-02 Coaxial Machine Gun,Coax / MG (7.62),coax,ZTD05/Weapons/BP_ZTD05_coax,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,706,706,745,,7,2500,1,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,1
ZSD89,IFVTracked,Type 86 Coaxial Machine Gun,Coax / MG (7.62),coax,ZSD89/Turrets/ZSL92/Weapons/BP_ZSL92_Type86,BP_Projectile_7_62mm,Projectile_Suppression_GPMG,False,701,701,855,,7,250,4,10.5,8.0,0.3499999940395355,1.75,,FC_SuppressionPower_MMG,,,,,,,,,,3
