weapon,category,fire_mode,rate_rpm,cyclic_rpm,bolt_cycle_s,profile,profile_from_override,projectile,asset,envelope_m,power_1m,power_2m,power_3m,power_4m,ceiling,sway_add,rounds_to_cap_1m,per_second_1m,muzzle_ms,moa,mag,pen_mm,variants,icon_asset
MPT-76 + HNA + Angled Foregrip + Tracer,Battle rifle,auto,706,706,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_MPT76_Foregrip_HNA_Tracer,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.53,800,4.0,20,7,1,T_mpt76_foregrip_hna
MPT-76 + HNA + Foregrip,Battle rifle,auto,706,706,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_MPT76_Foregrip_HNA,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.53,800,4.0,20,7,1,T_mpt76_foregrip_hna
MPT-76 AK-40GL,Battle rifle,auto,706,706,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,GrenadeLaunchers/MPT76AK40_UGL/BP_MPT76_AK40GL_Rifle,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.53,800,4.0,20,7,1,T_mpt76_ak40gl
MPT-76 AK-40GL + A940,Battle rifle,auto,706,706,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,GrenadeLaunchers/MPT76AK40_UGL/BP_MPT76_AK40GL_A940_Rifle,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.53,800,4.0,20,7,1,T_mpt76_ak40gl_a940
SKS,Battle rifle,semi,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_SKS,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,715,3.0,10,5,1,sks
SKS  TAZCO + M150,Battle rifle,semi,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/SKS_Tazco/BP_SKSTazco_M150,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,715,3.0,20,5,1,T_SKSTazco_M150
SKS + PU,Battle rifle,semi,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_SKS_Optic,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,715,3.0,10,5,2,sks_pu
SKS TAZCO,Battle rifle,semi,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/SKS_Tazco/BP_SKSTazco_Ironsight,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,715,3.0,20,5,1,T_SKSTazco_Ironsight
SKS TAZCO + T800,Battle rifle,semi,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/SKS_Tazco/BP_SKSTazco_T800,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,715,3.0,20,5,1,T_SKSTazco_T800
AR15 Wormpool + Meupold,DMR,semi,833,833,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile,Rifles/M16_Wormpool/BP_M16_Wormpool_Meupold_Semi,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,27.767,880,3.0,,5,1,T_M16_Wormpool_Meupold_Bipod
G3SG/1,DMR,semi,600,600,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3SG1_Optic,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,20.0,800,1.0,20,7,1,g3sg1
HK417,DMR,semi,833,833,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/BP_HK417_Optic,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,27.767,783,1.0,20,7,1,HK417
KNT-76,DMR,semi,706,706,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/BP_KNT76,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,23.533,800,1.5,20,7,2,T_knt76
L129A1,DMR,semi,833,833,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/BP_L129A1_Optic,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,27.767,783,1.0,20,7,1,l129a1
Lee-Enfield No.4 Mk I,DMR,bolt,56,833,1.08,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/LeeEnfieldNo4/BP_LeeEnfieldNo4,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,1.867,744,2.0,10,9,1,T_leeenfieldno4
M110 SASS,DMR,semi,833,833,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/BP_M110_Optic,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,27.767,783,1.0,20,7,1,m110
M110 SASS + Suppressor,DMR,semi,833,833,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/BP_M110_Optic_Suppressed,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,27.767,783,1.0,20,7,1,m110_suppressor
M16 Wormpool + Meupold,DMR,auto,833,833,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile,Rifles/M16_Wormpool/BP_M16_Wormpool_Meupold,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,27.767,880,3.0,,5,1,T_M16_Wormpool_Meupold_Bipod
M38,DMR,semi,833,833,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile,Rifles/BP_M38_DMR_Optic,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,27.767,915,1.0,,5,1,M38_DMR
M39 EMR,DMR,semi,667,667,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/BP_M39,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,22.233,715,1.5,20,7,1,T_M39
M39 EMR + M8541,DMR,semi,667,667,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/BP_M39_Optic,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,22.233,715,1.5,20,7,1,T_M39
Mosin Nagant M1891/30,DMR,bolt,44,833,1.37,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/BP_Mosin_M1891,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,1.467,865,2.0,5,9,1,mosinm1891
Mosin Nagant M38,DMR,bolt,44,833,1.37,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/BP_Mosin_M38Carbine,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,1.467,800,5.0,5,9,2,mosin_carbine
QBU-191,DMR,semi,451,451,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile,Rifles/QBU-191/BP_QBU-191_DMR_Parent,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,15.033,940,1.7999999523162842,,5,1,T_QBU191
QBU-191 + Ironsights,DMR,semi,451,451,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile,Rifles/QBU-191/BP_QBU-191_DMR_IronSights,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,15.033,940,1.7999999523162842,,5,1,T_QBU191
QBU-191 + QMK-191,DMR,semi,451,451,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile,Rifles/QBU-191/BP_QBU-191_DMR_Optic_QMK-191,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,15.033,940,1.7999999523162842,,5,1,T_QBU191_QMK191
QBU-191 + QMK-191 + Suppressor,DMR,semi,451,451,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile,Rifles/QBU-191/BP_QBU-191_DMR_Optic_QMK-191_Suppressor,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,15.033,940,1.7999999523162842,,5,1,T_QBU191_QMK191_Suppressor
QBU-88,DMR,semi,652,652,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/BP_QBU-88_Optic,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,21.733,830,1.2000000476837158,10,7,1,qbu88
QBU88,DMR,semi,652,652,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/BP_QBU-88_Parent,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,21.733,830,1.2000000476837158,10,7,2,qbu88
SVD,DMR,semi,652,652,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/SVD/BP_SVD_Optic,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,21.733,830,1.2000000476837158,10,7,2,svd
SVDM,DMR,semi,652,652,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/SVD/BP_SVDM_Optic,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,21.733,830,1.2000000476837158,10,7,4,T_SVDM
UAR-10,DMR,semi,833,833,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/UAR-10/BP_UAR-10_Irons,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,27.767,783,1.0,10,7,1,uar10_iron
UAR-10 + Optic,DMR,semi,833,833,,Projectile_Suppression_PrecisionRifle,yes,BP_Projectile_7_62mm,Rifles/UAR-10/BP_UAR-10_Optic,5.0,2.0,0.725,0.07,0.035,2.0,3.5,1.0,27.767,783,1.0,10,7,1,uar10
AK-12 GP-25 UGL,Explosive,semi,652,652,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_VOG_Proj2,GrenadeLaunchers/AK12GP25_UGL/BP_AK12GP25_UGL_Parent,,,,,,,,,,76,40.0,1,,3,gp25
AK-40GL,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/MPT76AK40_UGL/BP_MPT76_AK40GL_UGL_Parent,,,,,,,,,,70,30.0,1,,2,T_ak40gl_he
AK-40GL Fragmentation,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/MPT76AK40_UGL/BP_MPT76_AK40GL_UGL_HE,,,,,,,,,,70,30.0,1,,2,T_ak40gl_he
BP_AK74GP25_UGL_Parent,Explosive,semi,652,652,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_VOG_Proj2,GrenadeLaunchers/AK74GP25_UGL/BP_AK74GP25_UGL_Parent,,,,,,,,,,76,40.0,1,,1,gp25
C90-CR,Explosive,semi,30,30,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_C90_Rocket_Proj,RocketLaunchers/C90/BP_C90CR,,,,,,2.0,,,,160,10.0,1,420,2,C90CR
Carl Gustav M2 High Explosive Anti Tank,Explosive,semi,900,900,,Explosion_Suppression_90mm_HEAT_NoPassby,no,BP_FFV551_Rocket_Proj2,RocketLaunchers/BP_CarlGustavM2_Parent,,,,,,2.0,,,,310,7.0,1,400,2,carlgustavm2+no78mk1
DZJ-08,Explosive,semi,30,30,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_DZJ-08_Heat_Proj,RocketLaunchers/DZJ-08/BP_DZJ-08,,,,,,2.0,,,,172,10.0,1,320,1,dzj08
GP-25 Fragmentation,Explosive,semi,652,652,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_VOG_Proj2,GrenadeLaunchers/AKMGP25_UGL/BP_AKMGP25_UGL_HE,,,,,,,,,,76,40.0,1,,9,gp25
GP-25 High Explosive,Explosive,semi,652,652,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_VOG_Proj2,GrenadeLaunchers/AK74MGP25_UGL/BP_AK74MGP25_UGL_HE,,,,,,,,,,76,40.0,1,,18,gp25
HAR-66,Explosive,semi,30,30,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_M72A7_Rocket_Proj2,RocketLaunchers/BP_HAR66,,,,,,2.0,,,,144,15.0,1,320,2,T_HAR66
HK79,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/G3A3HK79_UGL/BP_G3A3HK79_UGL_Parent,,,,,,,,,,76,30.0,1,10,2,hk79_gl
HK79 High Explosive,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/G3A3HK79_UGL/BP_G3A3HK79_UGL_HE,,,,,,,,,,76,30.0,1,10,2,hk79_gl
L123A2,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/L85A2AG36_UGL/BP_L85A2AG36_UGL_Parent,,,,,,,,,,76,30.0,1,,7,ag36_gl
L123A2 High Explosive,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/L85A2AG36_UGL/BP_L85A2AG36_LDS_UGL_HE,,,,,,,,,,76,30.0,1,20,1,ag36_gl
L123A2 High Explosive Dual Purpose,Explosive,semi,750,750,,Explosion_Suppression_GrenadeLauncher_NoPassby,no,BP_40MM_Proj2,GrenadeLaunchers/L85A2AG36_UGL/BP_L85A2AG36_UGL_HE,,,,,,,,,,76,30.0,1,20,4,ag36_gl
L2A1 ILAW,Explosive,semi,30,30,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_AT4_HighPenetration_Rocket_Proj2,RocketLaunchers/BP_ILAWAT4,,,,,,2.0,,,,290,10.0,1,600,1,at4
L72A9 LASM,Explosive,semi,30,30,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_M72A6_Rocket_Proj,RocketLaunchers/BP_M72A7_LASM,,,,,,2.0,,,,144,15.0,1,320,1,m72law
M136 AT-4 CS High Explosive Anti-Tank,Explosive,semi,30,30,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_AT4_Rocket_Proj2,RocketLaunchers/BP_M136AT4_2mags,,,,,,2.0,,,,290,10.0,1,420,1,at4
M136 AT4,Explosive,semi,30,30,,Explosion_Suppression_50mm_HEAT_NoPassby,no,BP_AT4_Rocket_Proj2,RocketLaunchers/BP_M136AT4,,,,,,2.0,,,,290,10.0,1,420,1,at4
